Republic of the Philippnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education Management Information System Division - Planning Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Enrollment in Elementary level (ALL SECTOR) including PSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY 2019-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Kindergarten,,Grade 1,,Grade 2,,Grade 3,,Grade 4,,Grade 5,,Grade 6,,Non-Grade (ES),,Grade 11 (ABM),,Grade 11 (HUMSS),,Grade 11 (STEM),,Grade 11 (GAS),,Grade 11 (MARITIME),,GRADE 11 (TOTAL ACADEMIC TRACK),,,Grade 11 (TVL),,Grade 11 (SPORTs),,Grade 11 (ARTs & DESIGN),,GRADE 11 (GRAND TOTAL),,,Grade 12 (ABM),,Grade 12 (HUMSS),,Grade 12 (STEM),,Grade 12 (GAS),,Grade 12 (MARITIME),,GRADE 12 (TOTAL ACADEMIC TRACK),,,Grade 12 (TVL),,Grade 12 (SPORTs),,Grade 12 (ARTs & DESIGN),,Grade 7,,Grade 8,,Grade 9,,Grade 10,,Non-Grade (JHS),
,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Total,Male,Female,Male,Female,Male,Female,Male,Female,Total,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Total,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Region I - Ilocos Region,"51,362","47,897","45,996","40,374","56,529","53,289","54,292","49,735","44,437","40,355","49,742","46,502","52,971","49,154","1,620","1,041","2,154","6,264","10,689","11,567","7,113","8,581","8,847","8,330",57,3,"28,860","34,745","63,605","17,026","12,247",-,-,83,42,"45,969","47,034","93,003","2,133","6,450","8,259","9,333","6,590","7,304","7,744","7,378",174,8,"24,900","30,473","55,373","16,273","12,350",-,-,146,114,"55,654","50,957","56,540","51,512","56,011","52,414","50,560","50,912",51,26
Region II - Cagayan Valley,"39,083","36,163","34,871","30,197","42,670","40,311","40,021","37,160","32,833","29,856","36,342","34,025","38,537","36,250",896,576,"1,389","3,765","9,011","9,489","4,855","6,531","6,109","6,087",34,5,"21,398","25,877","47,275","7,849","5,494",121,57,78,57,"29,446","31,485","60,931","1,484","3,821","7,064","7,640","4,454","5,625","4,848","5,090",92,2,"17,942","22,178","40,120","7,664","6,045",145,95,85,93,"39,534","36,985","38,132","35,942","36,992","36,483","32,330","33,427",11,17
Region III - Central Luzon,"112,805","105,468","110,494","97,026","129,776","123,024","123,221","114,611","102,284","94,072","112,317","106,070","117,152","111,315","3,873","2,320","8,664","19,861","21,028","26,201","18,203","18,051","15,383","14,368",233,27,"63,511","78,508","142,019","29,000","21,075",102,50,187,187,"92,800","99,820","192,620","8,505","19,129","16,365","21,617","16,157","15,037","12,500","11,834",294,18,"53,821","67,635","121,456","29,288","21,129",87,44,194,182,"117,446","113,439","118,539","114,009","114,429","113,656","103,352","107,324",96,79
Region IV-A - CALABARZON,"144,238","135,306","145,801","130,083","167,717","159,177","161,224","150,599","132,911","122,164","141,031","134,282","152,657","146,244","5,771","3,296","12,504","28,505","31,703","35,990","25,958","24,696","7,721","7,407",242,26,"78,128","96,624","174,752","34,847","25,249",191,98,371,417,"113,537","122,388","235,925","11,810","27,100","24,623","30,500","23,109","20,779","8,246","7,820",299,31,"68,087","86,230","154,317","35,006","25,293",230,106,437,554,"150,145","143,934","153,517","147,888","153,342","151,504","136,363","140,995",319,205
Region IV-B - MIMAROPA,"38,522","35,740","38,307","33,186","41,487","38,195","38,845","36,025","32,916","30,363","36,004","33,752","36,338","34,716",950,672,"1,317","3,465","6,701","7,891","3,503","3,730","6,593","7,706",148,20,"18,262","22,812","41,074","8,403","6,248",96,30,102,84,"26,863","29,174","56,037","1,214","3,172","4,592","5,716","2,791","3,043","5,584","6,713",259,33,"14,440","18,677","33,117","8,428","6,911",101,66,119,116,"35,168","33,553","35,446","33,856","35,479","34,717","31,588","33,665",13,12
Region V - Bicol Region,"67,026","61,162","73,670","63,667","76,000","69,514","74,014","68,391","62,881","56,385","67,743","63,169","67,858","63,561","1,241",809,"2,002","5,610","4,877","7,134","4,498","5,273","19,489","24,745",114,7,"30,980","42,769","73,749","17,848","13,722",99,37,264,251,"49,191","56,779","105,970","1,927","5,611","4,118","6,417","4,472","4,957","14,424","19,503",207,22,"25,148","36,510","61,658","18,705","14,695",112,69,270,327,"63,697","60,428","68,727","64,749","72,115","71,011","61,067","66,612",57,28
Region VI - Western Visayas,"80,092","74,808","77,592","68,230","88,656","82,175","86,654","79,764","72,161","65,226","80,566","74,978","83,502","77,650","2,898","1,908","2,889","8,602","15,922","22,321","7,910","9,998","9,015","9,335",774,16,"36,510","50,272","86,782","29,407","21,151",63,26,146,175,"66,126","71,624","137,750","2,946","8,913","12,382","18,392","7,264","9,122","7,853","8,227","1,684",28,"32,129","44,682","76,811","26,445","20,246",103,52,173,205,"88,579","81,075","92,811","84,052","95,209","90,108","77,465","80,782",28,24
Region VII - Central Visayas,"82,368","76,849","82,078","72,862","88,682","82,479","87,115","80,633","69,507","63,618","79,792","74,206","84,529","79,789","2,245","1,364","3,127","8,567","10,220","16,700","9,874","10,228","15,845","17,419",531,20,"39,597","52,934","92,531","23,367","17,289",112,70,221,234,"63,297","70,527","133,824","2,991","8,580","8,231","14,267","9,326","9,482","12,729","14,215",950,45,"34,227","46,589","80,816","23,404","18,178",76,67,274,308,"82,234","76,365","83,092","79,190","86,392","87,422","72,075","78,917",30,5
Region VIII - Eastern Visayas,"53,778","49,080","51,131","44,618","56,579","53,001","54,843","50,948","46,744","42,175","49,531","46,291","50,119","46,942",832,537,"1,728","4,308","9,309","12,546","3,703","4,502","9,505","11,494",-,-,"24,245","32,850","57,095","15,344","12,193",65,61,23,27,"39,677","45,131","84,808","1,647","4,102","7,130","9,909","3,139","3,479","7,852","9,746",-,-,"19,768","27,236","47,004","15,247","12,361",54,51,37,58,"54,680","49,817","54,429","49,692","52,934","52,293","46,278","50,328",-,-
Region IX - Zamboanga Peninsula,"42,130","38,512","45,776","40,734","47,157","43,820","45,316","42,467","38,876","36,120","39,861","37,907","41,460","39,748","1,781","1,146","1,132","2,872","6,853","10,828","3,249","4,527","3,167","3,755",-,-,"14,401","21,982","36,383","14,022","11,693",42,19,44,50,"28,509","33,744","62,253","1,029","2,715","4,664","7,702","2,891","4,023","2,190","2,656",-,-,"10,774","17,096","27,870","13,018","11,062",29,16,76,80,"43,769","40,863","44,036","42,320","43,447","45,172","34,501","39,505",10,23
Region X - Northern Mindanao,"54,710","50,289","56,509","50,439","61,632","57,501","57,175","53,426","49,995","46,281","52,835","49,479","54,415","51,195","1,679","1,056","2,083","5,547","8,168","12,338","4,957","6,043","6,510","8,271",68,4,"21,786","32,203","53,989","13,980","9,295",55,37,45,37,"35,866","41,572","77,438","2,061","5,340","5,981","9,222","4,304","5,147","5,096","6,447",318,12,"17,760","26,168","43,928","13,389","9,580",103,81,72,84,"52,175","49,697","52,617","51,455","50,951","51,893","43,053","47,837",76,47
Region XI - Davao Region,"52,226","48,619","54,241","48,361","58,877","55,427","56,903","53,596","45,764","41,659","53,134","50,610","54,812","53,114","2,010","1,228","1,775","4,461","6,666","10,118","4,030","5,071","6,851","9,427",58,4,"19,380","29,081","48,461","17,119","13,410",6,1,51,55,"36,556","42,547","79,103","1,760","4,442","5,617","8,816","3,499","4,523","4,580","6,328",141,11,"15,597","24,120","39,717","15,863","12,577",4,2,65,105,"51,225","49,092","54,933","53,148","53,244","55,570","44,241","49,843",8,10
Region XII - Soccsksargen,"51,495","48,800","52,703","47,886","59,327","56,003","55,891","52,028","46,687","43,657","50,830","48,656","53,854","51,324",909,561,"1,622","4,274","12,882","18,985","4,417","5,912","1,815","2,399",16,-,"20,752","31,570","52,322","14,412","9,120",83,21,124,149,"35,371","40,860","76,231","1,530","4,079","10,027","14,914","3,993","5,164","1,680","2,120",25,-,"17,255","26,277","43,532","13,816","9,103",119,87,91,130,"52,029","50,357","51,763","51,023","49,299","51,905","41,287","46,737",50,24
CARAGA - CARAGA,"32,679","30,523","32,747","28,502","36,346","33,806","33,856","31,280","29,217","26,505","32,125","29,827","32,250","30,763",908,612,890,"2,174","4,175","5,718","2,564","3,473","6,273","7,660",73,6,"13,975","19,031","33,006","10,283","7,347",15,2,83,93,"24,356","26,473","50,829",960,"2,210","3,003","4,463","2,149","2,684","4,561","5,548",122,10,"10,795","14,915","25,710","9,882","7,281",30,24,76,95,"32,366","30,177","32,111","30,278","31,733","31,074","28,298","29,611",15,15
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,"47,135","46,965","49,912","48,604","47,070","46,415","43,305","42,552","39,695","39,824","36,639","37,676","33,567","36,474",135,92,778,961,"3,034","3,698","1,583","2,817","5,921","8,508",-,-,"11,316","15,984","27,300","4,342","4,444",35,15,13,8,"15,706","20,451","36,157",641,"1,036","2,439","3,150","1,365","2,401","4,289","6,362",-,-,"8,734","12,949","21,683","3,686","4,286",29,21,35,17,"26,704","30,697","25,462","30,007","22,775","28,749","19,167","24,787",-,-
CAR - Cordillera Administrative Region,"17,849","16,460","16,708","14,657","19,746","18,451","18,083","16,732","15,892","14,313","17,530","16,101","18,083","17,225",405,208,732,"1,816","5,007","5,813","2,727","3,937","1,785","1,919",19,2,"10,270","13,487","23,757","4,430","2,973",47,38,35,51,"14,782","16,549","31,331",713,"1,870","3,999","4,893","2,713","3,670","1,529","1,710",33,4,"8,987","12,147","21,134","3,960","2,924",70,29,33,40,"18,422","16,736","18,494","17,176","17,678","17,477","15,741","16,859",12,9
NCR - National Capital Region,"94,017","90,093","104,007","95,460","113,914","107,609","111,706","104,923","97,940","92,108","103,886","99,772","109,476","106,315","6,446","3,183","13,224","25,786","18,778","23,421","23,196","21,850","8,491","8,023",110,9,"63,799","79,089","142,888","25,618","19,015",369,171,764,"1,158","90,550","99,433","189,983","12,788","25,536","15,955","21,934","21,282","18,937","7,864","7,885",329,9,"58,218","74,301","132,519","26,409","20,090",440,213,830,"1,278","110,367","106,745","111,201","108,774","108,042","108,881","98,932","104,663",248,150
PSO-Philippine School Overseas,653,733,938,856,927,911,970,976,910,917,927,832,861,820,-,-,71,73,26,54,364,279,27,19,-,-,488,425,913,-,-,-,-,1,2,489,427,916,51,71,24,33,317,263,24,19,-,-,416,386,802,-,-,-,-,2,1,832,795,831,765,764,695,775,701,-,-